ticker,name,exchange,assetType
-P-H,NYSE,US,STOCK
-P-S,NYSE,US,STOCK
000001,SHE,US,STOCK
000002,SHE,US,STOCK
000003,SHE,US,STOCK
000004,SHE,US,STOCK
000005,SHE,US,STOCK
000006,SHE,US,STOCK
000007,SHE,US,STOCK
000008,SHE,US,STOCK
000009,SHE,US,STOCK
000010,SHE,US,STOCK
000011,SHE,US,STOCK
000012,SHE,US,STOCK
000013,SHE,US,STOCK
000014,SHE,US,STOCK
000015,SHE,US,STOCK
000016,SHE,US,STOCK
000017,SHE,US,STOCK
000018,SHE,US,STOCK
000019,SHE,US,STOCK
000020,SHE,US,STOCK
000021,SHE,US,STOCK
000022,SHE,US,STOCK
000023,SHE,US,STOCK
000024,SHE,US,STOCK
000025,SHE,US,STOCK
000026,SHE,US,STOCK
000027,SHE,US,STOCK
000028,SHE,US,STOCK
000029,SHE,US,STOCK
000030,SHE,US,STOCK
000031,SHE,US,STOCK
000032,SHE,US,STOCK
000033,SHE,US,STOCK
000034,SHE,US,STOCK
000035,SHE,US,STOCK
000036,SHE,US,STOCK
000037,SHE,US,STOCK
000038,SHE,US,STOCK
000039,SHE,US,STOCK
000040,SHE,US,STOCK
000042,SHE,US,STOCK
000043,SHE,US,STOCK
000045,SHE,US,STOCK
000046,SHE,US,STOCK
000047,SHE,US,STOCK
000048,SHE,US,STOCK
000049,SHE,US,STOCK
000050,SHE,US,STOCK
000055,SHE,US,STOCK
000056,SHE,US,STOCK
000058,SHE,US,STOCK
000059,SHE,US,STOCK
000060,SHE,US,STOCK
000061,SHE,US,STOCK
000062,SHE,US,STOCK
000063,SHE,US,STOCK
000065,SHE,US,STOCK
000066,SHE,US,STOCK
000068,SHE,US,STOCK
000069,SHE,US,STOCK
000070,SHE,US,STOCK
000078,SHE,US,STOCK
000088,SHE,US,STOCK
000089,SHE,US,STOCK
000090,SHE,US,STOCK
000096,SHE,US,STOCK
000099,SHE,US,STOCK
000100,SHE,US,STOCK
000150,SHE,US,STOCK
000151,SHE,US,STOCK
000153,SHE,US,STOCK
000155,SHE,US,STOCK
000156,SHE,US,STOCK
000157,SHE,US,STOCK
000158,SHE,US,STOCK
000159,SHE,US,STOCK
000166,SHE,US,STOCK
0001753539,NYSE,US,STOCK
000301,SHE,US,STOCK
000333,SHE,US,STOCK
000338,SHE,US,STOCK
